trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-611,-611,200,explore,200,83,0
1,0.0,-621,-1322,200,explore,200,178,0
2,0.0,-593,-1843,200,explore,200,267,0
3,0.0,-656,-2562,200,explore,200,295,0
4,0.0,-747,-3147,200,explore,200,370,0
5,0.0,-647,-3829,200,explore,200,447,1
6,0.0,-638,-4387,200,explore,200,485,1
7,0.0,-657,-5260,200,explore,200,573,1
8,0.0,-293,-5301,104,explore,104,612,1
9,0.0,-630,-5677,200,explore,200,716,1
10,0.0,-702,-5912,200,explore,200,804,1
11,0.0,-593,-6295,200,explore,200,821,1
12,0.0,-702,-6285,200,explore,200,919,1
13,0.0,-729,-6367,200,explore,200,1004,1
14,0.0,-737,-6717,200,explore,200,1096,1
15,0.0,-819,-6730,200,explore,200,1192,1
16,0.0,-774,-6556,200,explore,200,1225,2
17,0.0,-665,-7238,200,explore,200,1319,2
18,0.0,-747,-6097,200,explore,200,1416,2
19,0.0,-783,-7297,200,explore,200,1418,4
20,0.0,-908,-6944,200,explore,200,1493,4
21,0.0,-855,-7286,200,explore,200,1510,4
22,0.0,-864,-7536,200,explore,200,1561,4
23,0.0,-836,-7723,200,explore,200,1590,4
24,0.0,-399,-7523,101,explore,101,1604,4
25,0.0,-710,-7764,200,explore,200,1626,4
26,0.0,-918,-7582,200,explore,200,1654,5
27,0.0,-846,-8249,200,explore,200,1706,5
28,0.0,-1007,-8230,200,explore,200,1703,7
29,0.0,-1053,-7914,200,explore,200,1711,7
30,0.0,-972,-8087,200,explore,200,1711,7
31,0.0700280112044818,-1034,-8420,200,explore,200,1710,15
32,0.0700280112044818,-1017,-8175,200,explore,200,1710,20
33,0.0700280112044818,-1098,-7759,200,explore,200,1731,20
34,0.0700280112044818,-845,-7627,200,explore,200,1738,20
35,0.0700280112044818,-900,-8517,200,explore,200,1786,20
36,0.0700280112044818,-756,-7679,200,explore,200,1805,20
37,0.0700280112044818,-872,-8383,200,explore,200,1841,20
38,0.1400560224089636,-774,-8590,200,explore,200,1855,25
39,0.21008403361344538,-1026,-7740,200,explore,200,1856,33
40,0.21008403361344538,-1016,-7440,200,explore,200,1873,33
41,0.350140056022409,-693,-7636,200,explore,200,1872,41
42,0.350140056022409,-1035,-8271,200,explore,200,1873,42
43,0.49019607843137253,-755,-8932,200,explore,200,1886,53
44,0.5602240896358543,-918,-8950,200,explore,200,1887,62
45,0.5602240896358543,-936,-8867,200,explore,200,1886,68
46,0.5602240896358543,-746,-7492,200,explore,200,1927,68
47,0.5602240896358543,-837,-8133,200,explore,200,1979,68
48,0.5602240896358543,-783,-8431,200,explore,200,1998,68
49,0.5602240896358543,-926,-9077,200,explore,200,2018,68
50,0.5602240896358543,-927,-8979,200,explore,200,2054,68
51,0.5602240896358543,-936,-8674,200,explore,200,2072,68
52,0.5602240896358543,-818,-8662,200,explore,200,2075,70
53,0.6302521008403361,-918,-8699,200,explore,200,2074,76
54,0.6302521008403361,-855,-8574,200,explore,200,2081,76
55,0.6302521008403361,-782,-8001,200,explore,200,2091,80
56,0.6302521008403361,-945,-7160,200,explore,200,2089,81
57,0.6302521008403361,-819,-8716,200,explore,200,2109,81
58,0.6302521008403361,-836,-8473,200,explore,200,2105,82
59,0.6302521008403361,-945,-8067,200,explore,200,2119,86
60,0.700280112044818,-801,-8482,200,explore,200,2117,93
61,0.700280112044818,-782,-8456,200,explore,200,2125,95
62,0.7703081232492998,-711,-8445,200,explore,200,2125,99
63,0.7703081232492998,-981,-8617,200,explore,200,2124,104
64,0.7703081232492998,-1106,-9461,200,explore,200,2125,108
65,0.7703081232492998,-1026,-8841,200,explore,200,2128,110
66,1.050420168067227,-837,-7845,200,explore,200,2133,119
67,1.050420168067227,-791,-8903,200,explore,200,2178,121
68,1.050420168067227,-882,-9007,200,explore,200,2182,121
69,1.050420168067227,-765,-8783,200,explore,200,2202,124
70,1.050420168067227,-719,-7593,200,explore,200,2206,127
71,1.050420168067227,-630,-8574,200,explore,200,2206,128
72,1.050420168067227,-711,-8717,200,explore,200,2205,136
73,1.050420168067227,-881,-8795,200,explore,200,2204,137
74,1.2605042016806722,-828,-8275,200,explore,200,2205,143
75,1.2605042016806722,-756,-8060,200,explore,200,2210,146
76,1.2605042016806722,-579,-8973,180,explore,180,2229,146
77,1.2605042016806722,-566,-8528,200,explore,200,2238,148
78,1.330532212885154,-666,-8249,200,explore,200,2236,156
79,1.400560224089636,-1116,-8087,200,explore,200,2236,168
80,1.610644257703081,-1160,-8047,200,explore,200,2236,182
81,1.610644257703081,-1044,-8397,200,explore,200,2236,185
82,1.610644257703081,-1143,-9422,200,explore,200,2236,194
83,1.610644257703081,-980,-8899,200,explore,200,2239,196
84,1.610644257703081,-1071,-9340,200,explore,200,2239,208
85,1.610644257703081,-1053,-9762,200,explore,200,2239,218
86,1.680672268907563,-1016,-9120,200,explore,200,2240,226
87,1.7507002801120448,-972,-8827,200,explore,200,2240,235
88,1.7507002801120448,-348,-8751,87,explore,87,2267,235
89,1.7507002801120448,-729,-8959,200,explore,200,2288,235
90,1.7507002801120448,-809,-8610,200,explore,200,2287,236
91,2.380952380952381,-981,-8538,200,explore,200,2286,255
92,2.380952380952381,-656,-8482,141,explore,141,2303,257
93,2.5210084033613445,-611,-8573,200,explore,200,2303,268
94,2.5910364145658265,-801,-8437,200,explore,200,2303,274
95,2.5910364145658265,-738,-9669,200,explore,200,2304,277
96,2.5910364145658265,-1088,-9006,200,explore,200,2304,282
97,3.361344537815126,-855,-8799,200,explore,200,2305,298
98,3.361344537815126,-702,-9165,200,explore,200,2315,298
99,3.361344537815126,-266,-7107,95,explore,95,2326,298
100,3.711484593837535,-719,-9031,200,explore,200,2341,304
101,4.061624649859944,-927,-9391,200,explore,200,2338,323
102,4.061624649859944,-891,-8621,200,explore,200,2343,329
103,4.761904761904762,-656,-8744,200,explore,200,2340,344
104,5.1120448179271705,-1125,-9625,200,explore,200,2340,352
105,5.322128851540616,-1107,-9430,200,explore,200,2344,361
106,5.88235294117647,-845,-9203,200,explore,200,2344,381
107,6.022408963585434,-1116,-10254,200,explore,200,2342,389
108,6.23249299719888,-1107,-10853,200,explore,200,2343,399
109,6.23249299719888,-917,-9496,200,explore,200,2353,400
110,6.23249299719888,-738,-9607,200,explore,200,2353,401
111,6.582633053221289,-1035,-10007,200,explore,200,2353,412
112,6.862745098039216,-1241,-9244,200,explore,200,2354,422
113,6.932773109243698,-1143,-9841,200,explore,200,2354,433
114,7.142857142857142,-711,-9035,200,explore,200,2356,440
115,7.42296918767507,-944,-9071,200,explore,200,2354,453
116,7.492997198879552,-963,-8919,200,explore,200,2358,459
117,7.633053221288516,-855,-8145,200,explore,200,2359,464
118,7.9831932773109235,-683,-8657,200,explore,200,2355,473
119,7.9831932773109235,-693,-8428,200,explore,200,2355,474
120,7.9831932773109235,-738,-9095,200,explore,200,2355,478
121,8.543417366946779,-744,-8027,200,explore,200,2355,494
122,8.893557422969188,-690,-8948,200,explore,200,2355,503
123,9.313725490196079,-738,-9221,200,explore,200,2355,511
124,9.313725490196079,-692,-8321,200,explore,200,2355,511
125,9.313725490196079,-702,-9086,200,explore,200,2357,513
126,10.15406162464986,-702,-9987,200,explore,200,2356,532
127,10.224089635854341,-755,-8361,200,explore,200,2356,536
128,10.644257703081232,-693,-8752,200,explore,200,2356,542
129,10.854341736694678,-945,-8843,200,explore,200,2358,550
130,10.854341736694678,-998,-9843,200,explore,200,2358,554
131,10.92436974789916,-1062,-9894,200,explore,200,2358,565
132,11.204481792717088,-837,-7702,200,explore,200,2364,576
133,11.27450980392157,-746,-8804,200,explore,200,2364,578
134,11.414565826330533,-411,-8221,104,explore,104,2364,580
135,11.624649859943977,-729,-8282,200,explore,200,2364,590
136,11.904761904761903,-872,-9183,200,explore,200,2363,602
137,12.044817927170868,-837,-9827,200,explore,200,2368,610
138,12.324929971988796,-837,-9264,200,explore,200,2367,626
139,12.815126050420167,-962,-9597,200,explore,200,2365,637
140,12.815126050420167,-954,-9672,200,explore,200,2370,637
141,13.375350140056023,-738,-8747,200,explore,200,2370,651
142,13.445378151260504,-881,-9293,200,explore,200,2375,656
143,13.515406162464986,-711,-9023,200,explore,200,2374,661
144,13.515406162464986,-864,-8865,200,explore,200,2374,666
145,13.655462184873949,-1052,-9047,200,explore,200,2374,673
146,13.795518207282914,-981,-9086,200,explore,200,2374,683
147,14.07563025210084,-891,-8409,200,explore,200,2377,689
148,14.07563025210084,-935,-9076,200,explore,200,2375,692
149,14.07563025210084,-1017,-9579,200,explore,200,2375,695
150,14.565826330532214,-1015,-9028,200,explore,200,2375,707
151,14.775910364145659,-1151,-9319,200,explore,200,2383,712
152,15.546218487394958,-734,-8948,198,explore,198,2381,730
153,16.03641456582633,-1097,-9295,200,explore,200,2380,742
154,16.246498599439775,-1115,-9561,200,explore,200,2380,751
155,16.246498599439775,-1053,-9740,200,explore,200,2382,755
156,16.386554621848738,-719,-9734,200,explore,200,2381,757
157,16.736694677871146,-1016,-9170,200,explore,200,2381,768
158,16.876750700280112,-773,-8221,200,explore,200,2385,771
159,17.086834733893557,-647,-8041,200,explore,200,2384,776
160,17.15686274509804,-181,-8798,57,explore,57,2384,781
161,17.15686274509804,-1089,-10056,200,explore,200,2388,785
162,17.436974789915965,-684,-9325,200,explore,200,2387,790
163,17.787114845938376,-1178,-10135,200,explore,200,2387,803
164,17.92717086834734,-1051,-10015,198,explore,198,2387,810
165,18.277310924369747,-1080,-9939,200,explore,200,2387,818
166,18.487394957983195,-952,-10034,200,explore,200,2390,832
167,18.907563025210084,-720,-10255,200,explore,200,2389,843
168,18.977591036414566,-562,-9592,155,explore,155,2392,846
169,19.677871148459385,-801,-9644,200,explore,200,2390,862
170,19.817927170868348,-1106,-9137,200,explore,200,2390,866
171,20.028011204481793,-1097,-8305,200,explore,200,2390,871
172,20.30812324929972,-1044,-9290,200,explore,200,2390,883
173,20.658263305322127,-1034,-8541,200,explore,200,2390,892
174,21.008403361344538,-1160,-9336,200,explore,200,2390,899
175,21.07843137254902,-1026,-9153,200,explore,200,2390,903
176,21.358543417366946,-1142,-9152,200,explore,200,2390,918
177,21.568627450980394,-1043,-7912,200,explore,200,2390,922
178,21.9187675070028,-1098,-8905,200,explore,200,2390,929
179,21.988795518207283,-1027,-8949,200,explore,200,2392,934
180,22.478991596638657,-1016,-9110,200,explore,200,2392,946
181,22.689075630252102,-611,-8480,177,explore,177,2391,953
182,23.10924369747899,-974,-9003,200,explore,200,2391,959
183,23.319327731092436,-1088,-10018,200,explore,200,2391,962
184,23.319327731092436,-1044,-9695,200,explore,200,2391,968
185,23.389355742296917,-1026,-9987,200,explore,200,2391,982
186,23.4593837535014,-935,-10340,200,explore,200,2391,984
187,23.599439775910362,-1152,-10276,200,explore,200,2391,991
188,23.949579831932773,-1161,-8968,200,explore,200,2391,1004
189,24.159663865546218,-1034,-8993,200,explore,200,2391,1007
190,24.369747899159663,-1071,-9590,200,explore,200,2390,1016
191,24.369747899159663,-918,-9663,200,explore,200,2390,1021
192,24.439775910364144,-1205,-9647,200,explore,200,2390,1028
193,24.789915966386555,-1053,-9541,200,explore,200,2390,1036
194,24.92997198879552,-1089,-9512,200,explore,200,2390,1044
195,25.07002801120448,-1124,-9824,200,explore,200,2390,1046
196,25.140056022408963,-1053,-9828,200,explore,200,2391,1054
197,25.49019607843137,-973,-8697,199,explore,199,2391,1061
198,26.120448179271712,-944,-10159,200,explore,200,2390,1074
199,26.330532212885156,-1116,-9400,200,explore,200,2390,1077
200,26.47058823529412,-991,-9396,200,explore,200,2389,1083
201,26.750700280112046,-638,-8680,200,explore,200,2389,1088
202,27.450980392156865,-707,-8651,200,explore,200,2394,1100
203,27.941176470588236,-745,-8393,200,explore,200,2392,1116
204,28.011204481792717,-809,-8838,200,explore,200,2392,1120
205,28.361344537815125,-998,-9293,200,explore,200,2392,1128
206,28.57142857142857,-1125,-9228,200,explore,200,2392,1139
207,28.57142857142857,-953,-8782,200,explore,200,2392,1143
208,28.851540616246496,-1143,-8972,200,explore,200,2392,1158
209,28.851540616246496,-1053,-8447,200,explore,200,2392,1163
210,28.921568627450984,-954,-8451,200,explore,200,2392,1169
211,29.20168067226891,-1224,-8237,200,explore,200,2392,1181
212,29.341736694677873,-1017,-7734,200,explore,200,2392,1189
213,29.6218487394958,-959,-7836,200,explore,200,2394,1200
214,29.901960784313726,-156,-7181,201,explore,201,2393,1204
215,30.252100840336134,-1039,-7808,199,explore,199,2393,1212
216,30.322128851540615,-1097,-7803,200,explore,200,2393,1224
217,30.532212885154063,-1134,-7512,200,explore,200,2393,1229
218,30.742296918767508,-1007,-7775,200,explore,200,2393,1237
219,30.952380952380953,-1016,-8038,200,explore,200,2393,1242
220,31.162464985994397,-999,-7692,200,explore,200,2393,1247
221,31.652661064425768,-1098,-8194,200,explore,200,2393,1259
222,31.862745098039213,-1042,-8373,200,explore,200,2393,1268
223,32.42296918767507,-1071,-9177,200,explore,200,2393,1281
224,32.42296918767507,-1107,-9996,200,explore,200,2393,1293
225,32.703081232493,-1241,-9799,200,explore,200,2393,1300
226,32.91316526610644,-1053,-8013,200,explore,200,2395,1308
227,33.12324929971989,-1098,-8693,200,explore,200,2395,1311
228,33.47338935574229,-886,-9167,200,explore,200,2394,1320
229,34.103641456582636,-1116,-9145,200,explore,200,2394,1330
230,34.523809523809526,-926,-7936,200,explore,200,2393,1341
231,35.08403361344538,-760,-8151,196,explore,196,2392,1350
232,35.08403361344538,-1035,-8382,200,explore,200,2392,1350
233,35.08403361344538,-783,-8148,166,explore,166,2395,1356
234,35.154061624649856,-854,-7871,200,explore,200,2394,1362
235,35.43417366946779,-666,-8043,200,explore,200,2393,1367
236,35.64425770308123,-637,-7924,200,explore,200,2394,1370
237,35.64425770308123,-697,-7376,200,explore,200,2396,1376
238,35.78431372549019,-358,-7593,124,explore,124,2398,1379
239,36.134453781512605,-692,-7979,200,explore,200,2397,1390
240,36.41456582633053,-607,-8015,200,explore,200,2398,1401
241,36.97478991596639,-971,-8175,200,explore,200,2397,1411
242,37.254901960784316,-968,-8479,197,explore,197,2397,1417
243,37.745098039215684,-1052,-8879,200,explore,200,2397,1426
244,38.095238095238095,-1030,-7732,200,explore,200,2397,1437
245,38.445378151260506,-920,-7980,200,explore,200,2397,1442
246,39.00560224089636,-1115,-7970,200,explore,200,2397,1453
247,39.21568627450981,-989,-7768,200,explore,200,2397,1461
248,39.285714285714285,-1107,-7360,200,explore,200,2397,1463
249,39.635854341736696,-854,-7285,197,explore,197,2397,1469
250,39.77591036414566,-945,-9122,200,explore,200,2397,1472
251,40.056022408963585,-1125,-8528,200,explore,200,2397,1481
252,40.19607843137255,-1008,-8754,200,explore,200,2397,1489
253,40.476190476190474,-1137,-9264,200,explore,200,2397,1494
254,40.476190476190474,-480,-8971,95,explore,95,2397,1496
255,40.68627450980392,-1035,-8972,200,explore,200,2397,1499
256,40.7563025210084,-102,-6647,204,explore,204,2397,1500
257,40.896358543417364,-469,-7173,100,explore,100,2397,1503
258,41.03641456582633,-641,-7447,189,explore,189,2400,1507
259,41.10644257703081,-684,-7034,200,explore,200,2400,1510
260,41.246498599439775,-654,-8348,200,explore,200,2398,1514
261,41.31652661064425,-268,-6282,103,explore,103,2398,1516
262,41.31652661064425,-549,-7567,177,explore,177,2401,1519
263,41.45658263305322,-675,-7938,200,explore,200,2401,1521
264,41.596638655462186,-477,-7881,177,explore,177,2403,1528
265,41.73669467787115,-693,-7604,200,explore,200,2401,1537
266,42.226890756302524,-888,-5952,199,explore,199,2401,1545
267,42.226890756302524,-858,-6975,200,explore,200,2401,1547
268,42.787114845938376,-943,-6565,200,explore,200,2401,1559
269,43.13725490196079,-823,-5490,197,explore,197,2401,1567
270,43.627450980392155,-759,-6127,156,explore,156,2401,1575
271,44.18767507002801,-908,-7913,200,explore,200,2401,1586
272,44.25770308123249,-997,-7324,200,explore,200,2401,1592
273,44.81792717086835,-795,-6844,200,explore,200,2400,1600
274,44.88795518207283,-404,-7460,136,explore,136,2400,1603
275,44.957983193277315,-587,-7395,184,explore,184,2400,1606
276,45.09803921568628,-705,-7398,200,explore,200,2400,1613
277,45.378151260504204,-230,-7675,202,explore,202,2400,1617
278,45.79831932773109,-752,-7014,200,explore,200,2400,1627
279,46.148459383753504,-549,-6997,200,explore,200,2400,1635
280,46.84873949579832,-628,-7163,199,explore,199,2400,1647
281,46.9187675070028,-634,-7604,200,explore,200,2400,1651
282,47.198879551820724,-667,-7789,200,explore,200,2400,1656
283,47.33893557422969,-508,-7148,198,explore,198,2400,1659
284,47.47899159663865,-810,-7573,200,explore,200,2400,1661
285,47.689075630252105,-601,-6850,200,explore,200,2400,1667
286,47.82913165266107,-393,-7545,134,explore,134,2400,1669
287,48.38935574229692,-665,-7710,200,explore,200,2400,1678
288,48.739495798319325,-611,-7343,200,explore,200,2400,1684
289,48.94957983193277,-711,-8204,200,explore,200,2400,1689
290,49.43977591036415,-603,-7774,200,explore,200,2400,1696
291,49.85994397759104,-600,-6555,198,explore,198,2400,1706
292,50.0,-363,-7497,140,explore,140,2400,1708
293,50.42016806722689,-599,-6892,200,explore,200,2400,1716
294,50.63025210084034,-687,-6358,199,explore,199,2400,1721
295,50.700280112044815,-620,-5928,200,explore,200,2400,1723
296,51.05042016806722,-630,-6162,200,explore,200,2400,1731
297,51.330532212885146,-684,-6544,200,explore,200,2400,1739
298,51.89075630252101,-688,-5715,200,explore,200,2400,1751
299,52.17086834733894,-605,-6151,200,explore,200,2400,1758
300,52.66106442577031,-615,-5716,200,explore,200,2400,1768
301,53.57142857142857,-666,-6455,200,explore,200,2400,1782
302,53.99159663865546,-546,-6570,197,explore,197,2400,1792
303,54.48179271708683,-674,-6565,199,explore,199,2400,1802
304,54.761904761904766,-700,-6013,200,explore,200,2400,1809
305,55.25210084033614,-684,-6329,200,explore,200,2400,1822
306,56.30252100840336,-709,-6770,198,explore,198,2400,1839
307,56.51260504201681,-324,-6967,132,explore,132,2400,1844
308,57.212885154061624,-660,-6596,200,explore,200,2400,1858
309,57.56302521008403,-658,-7581,200,explore,200,2400,1867
310,57.56302521008403,-3,-5213,202,explore,202,2400,1867
311,57.70308123249299,-632,-7255,200,explore,200,2400,1877
312,57.84313725490197,-589,-7122,199,explore,199,2400,1879
313,58.19327731092437,-638,-7384,200,explore,200,2400,1889
314,58.543417366946784,-651,-7276,200,explore,200,2400,1899
315,59.103641456582636,-304,-6417,114,explore,114,2400,1909
316,59.593837535014,-674,-6395,200,explore,200,2400,1919
317,60.01400560224089,-655,-6594,200,explore,200,2400,1930
318,60.154061624649856,-672,-7250,200,explore,200,2400,1935
319,60.50420168067227,-740,-7192,199,explore,199,2400,1941
320,60.85434173669467,-413,-6218,145,explore,145,2400,1949
321,60.85434173669467,-685,-6674,200,explore,200,2400,1954
322,60.85434173669467,-655,-6708,200,explore,200,2400,1955
323,61.274509803921575,-587,-6695,200,explore,200,2400,1963
324,62.39495798319328,-702,-6579,200,explore,200,2400,1983
325,62.39495798319328,-427,-4804,189,explore,189,2400,1983
326,62.675070028011206,-580,-5436,200,explore,200,2400,1990
327,62.88515406162465,-631,-6527,200,explore,200,2400,1993
328,63.23529411764706,-387,-5490,119,explore,119,2400,2000
329,63.4453781512605,-658,-6508,181,explore,181,2400,2004
330,63.58543417366946,-604,-6688,200,explore,200,2400,2008
331,63.725490196078425,-608,-5808,200,explore,200,2400,2010
332,63.79551820728291,-614,-5134,200,explore,200,2400,2013
333,64.14565826330532,-656,-6072,200,explore,200,2400,2023
334,65.68627450980392,-632,-6690,200,explore,200,2400,2052
335,66.1064425770308,-368,-6226,120,explore,120,2400,2062
336,66.87675070028011,-637,-6293,197,explore,197,2400,2075
337,67.01680672268907,-604,-7149,200,explore,200,2400,2081
338,67.64705882352942,-691,-7389,200,explore,200,2400,2091
339,68.0672268907563,-671,-6328,200,explore,200,2400,2100
340,68.0672268907563,-372,-6167,113,explore,113,2400,2101
341,68.13725490196079,-628,-6515,199,explore,199,2400,2102
342,68.34733893557423,-606,-5851,200,explore,200,2400,2107
343,68.41736694677871,-510,-6844,138,explore,138,2400,2109
344,68.55742296918767,-687,-5749,202,explore,202,2400,2111
345,68.62745098039215,-756,-6130,200,explore,200,2400,2113
346,68.62745098039215,-136,-4133,59,explore,59,2400,2113
347,68.69747899159664,-60,-5015,28,explore,28,2400,2114
348,68.90756302521008,-617,-6407,200,explore,200,2400,2118
349,68.97759103641457,-703,-6072,204,explore,204,2400,2120
350,69.04761904761905,-507,-5871,175,explore,175,2400,2121
351,69.39775910364145,-726,-5811,200,explore,200,2400,2129
352,70.30812324929971,-630,-5372,200,explore,200,2400,2147
353,70.44817927170868,-675,-5984,194,explore,194,2400,2149
354,70.44817927170868,-142,-5179,55,explore,55,2400,2149
355,70.65826330532214,-288,-6238,138,explore,138,2400,2153
356,70.7983193277311,-365,-5589,126,explore,126,2400,2159
357,70.86834733893558,-639,-6192,200,explore,200,2400,2161
358,71.07843137254902,-565,-5362,200,explore,200,2400,2164
359,71.1484593837535,-598,-6147,200,explore,200,2400,2165
360,71.35854341736695,-702,-5890,200,explore,200,2400,2170
361,71.70868347338936,-728,-4401,200,explore,200,2400,2177
362,71.84873949579831,-657,-4754,200,explore,200,2400,2179
363,71.84873949579831,-603,-5093,200,explore,200,2400,2180
364,72.05882352941177,-660,-4493,200,explore,200,2400,2184
365,72.19887955182072,-16,-2767,203,explore,203,2400,2186
366,72.26890756302521,-616,-4572,200,explore,200,2400,2188
367,72.26890756302521,-78,-4000,35,explore,35,2400,2188
368,72.61904761904762,-773,-6464,200,explore,200,2400,2195
369,72.82913165266106,-595,-5219,199,explore,199,2400,2201
370,72.82913165266106,-46,-4681,201,explore,201,2400,2201
371,72.82913165266106,-64,-5161,205,explore,205,2400,2202
372,72.82913165266106,-208,-4586,80,explore,80,2400,2202
373,72.82913165266106,-599,-5480,200,explore,200,2400,2203
374,72.82913165266106,-50,-5097,201,explore,201,2400,2203
375,73.0392156862745,-649,-5974,200,explore,200,2400,2207
376,73.10924369747899,-570,-6485,200,explore,200,2400,2208
377,73.10924369747899,-635,-5406,200,explore,200,2400,2208
378,73.17927170868347,-345,-5600,145,explore,145,2400,2211
379,73.52941176470588,-688,-5337,200,explore,200,2400,2223
380,73.52941176470588,-26,-3870,203,explore,203,2400,2223
381,73.52941176470588,-33,-4890,203,explore,203,2400,2223
382,73.66946778711485,-644,-4804,200,explore,200,2400,2226
383,74.2296918767507,-647,-5323,200,explore,200,2400,2236
384,74.2296918767507,-700,-5474,200,explore,200,2400,2237
385,74.2296918767507,-314,-4463,115,explore,115,2400,2237
386,74.2296918767507,-363,-5203,126,explore,126,2400,2237
387,74.2296918767507,-205,-4161,205,explore,205,2400,2237
388,74.43977591036415,-670,-4914,200,explore,200,2400,2241
389,74.71988795518207,-671,-5813,200,explore,200,2400,2248
390,74.71988795518207,-639,-4662,200,explore,200,2400,2248
391,74.92997198879551,-709,-4959,196,explore,196,2400,2253
392,75.14005602240897,-289,-3296,108,explore,108,2400,2256
393,75.14005602240897,-643,-4510,200,explore,200,2400,2256
394,75.14005602240897,19,-4441,18,explore,18,2400,2256
395,75.14005602240897,-554,-5003,200,explore,200,2400,2256
396,75.14005602240897,-232,-3942,90,explore,90,2400,2256
397,75.21008403361344,-690,-4354,199,explore,199,2400,2259
398,75.21008403361344,-330,-3379,204,explore,204,2400,2261
399,75.28011204481793,-784,-4451,200,explore,200,2400,2262
400,75.28011204481793,-635,-4501,203,explore,203,2400,2262
401,75.28011204481793,-666,-4186,200,explore,200,2400,2262
402,75.28011204481793,-780,-4640,200,explore,200,2400,2262
403,75.42016806722688,-661,-3752,205,explore,205,2400,2264
404,75.42016806722688,-195,-4203,89,explore,89,2400,2264
405,75.42016806722688,-667,-4087,200,explore,200,2400,2264
406,75.42016806722688,17,-4679,16,explore,16,2400,2264
407,75.84033613445378,-702,-4953,200,explore,200,2400,2275
408,75.98039215686273,-465,-4307,203,explore,203,2400,2277
409,75.98039215686273,6,-3448,21,explore,21,2400,2279
410,75.98039215686273,-674,-4388,200,explore,200,2400,2279
411,76.05042016806722,-229,-3688,92,explore,92,2400,2280
412,76.1204481792717,-366,-4258,121,explore,121,2400,2281
413,76.19047619047619,-658,-3700,206,explore,206,2400,2282
414,76.19047619047619,-641,-5782,200,explore,200,2400,2282
415,76.40056022408963,-527,-5109,190,explore,190,2400,2285
416,76.40056022408963,-307,-3110,106,explore,106,2400,2286
417,76.68067226890757,-700,-4556,200,explore,200,2400,2291
418,76.68067226890757,-732,-4112,200,explore,200,2400,2291
419,76.68067226890757,-83,-2816,203,explore,203,2400,2291
420,76.68067226890757,-158,-4256,84,explore,84,2400,2292
421,76.82072829131653,-614,-3370,200,explore,200,2400,2294
422,76.82072829131653,-524,-3958,200,explore,200,2400,2294
423,76.82072829131653,-630,-3963,200,explore,200,2400,2294
424,76.82072829131653,-39,-4078,205,explore,205,2400,2294
425,76.82072829131653,-394,-4712,137,explore,137,2400,2294
426,76.82072829131653,-689,-5090,200,explore,200,2400,2297
427,76.89075630252101,-582,-4342,200,explore,200,2400,2298
428,77.10084033613445,-585,-3416,200,explore,200,2400,2305
429,77.10084033613445,-102,-4329,41,explore,41,2400,2305
430,77.10084033613445,-614,-3930,200,explore,200,2400,2305
431,77.10084033613445,-125,-2615,47,explore,47,2400,2305
432,77.17086834733894,-352,-3326,201,explore,201,2400,2306
433,77.17086834733894,-37,-3214,27,explore,27,2400,2306
434,77.17086834733894,-161,-4110,64,explore,64,2400,2307
435,77.45098039215686,-670,-4293,199,explore,199,2400,2315
436,77.45098039215686,-532,-3524,200,explore,200,2400,2315
437,77.52100840336135,-418,-4596,137,explore,137,2400,2316
438,77.73109243697479,-399,-4679,155,explore,155,2400,2321
439,77.80112044817928,-279,-4573,91,explore,91,2400,2322
440,77.80112044817928,-740,-3830,200,explore,200,2400,2322
441,77.80112044817928,-475,-3409,137,explore,137,2400,2322
442,77.80112044817928,-555,-3728,200,explore,200,2400,2323
443,77.80112044817928,-245,-3828,201,explore,201,2400,2323
444,77.80112044817928,-108,-3037,55,explore,55,2400,2323
445,77.80112044817928,-370,-3659,138,explore,138,2400,2325
446,77.94117647058823,-705,-4279,200,explore,200,2400,2329
447,77.94117647058823,-74,-4357,46,explore,46,2400,2329
448,78.01120448179272,-439,-2862,178,explore,178,2400,2332
449,78.01120448179272,-579,-3771,200,explore,200,2400,2332
450,78.01120448179272,-65,-2923,38,explore,38,2400,2332
451,78.0812324929972,-613,-4041,200,explore,200,2400,2333
452,78.0812324929972,-407,-4382,149,explore,149,2400,2333
453,78.0812324929972,-585,-3343,200,explore,200,2400,2334
454,78.36134453781513,-430,-3149,147,explore,147,2400,2338
455,78.50140056022408,-817,-4012,200,explore,200,2400,2342
456,78.50140056022408,-93,-3959,30,explore,30,2400,2342
457,78.50140056022408,-185,-3241,205,explore,205,2400,2342
458,78.50140056022408,-670,-4024,200,explore,200,2400,2342
459,78.57142857142857,-663,-4385,200,explore,200,2400,2344
460,78.57142857142857,-538,-4023,200,explore,200,2400,2344
461,78.57142857142857,-446,-3120,149,explore,149,2400,2344
462,78.8515406162465,-508,-2172,158,explore,158,2400,2351
463,78.8515406162465,-634,-2948,200,explore,200,2400,2351
464,78.8515406162465,-60,-3192,43,explore,43,2400,2351
465,78.8515406162465,-486,-3899,169,explore,169,2400,2351
466,78.92156862745098,-677,-3893,200,explore,200,2400,2352
467,78.92156862745098,-167,-3493,66,explore,66,2400,2352
468,78.92156862745098,-674,-4813,200,explore,200,2400,2352
469,78.92156862745098,-148,-2277,202,explore,202,2400,2352
470,78.92156862745098,-253,-3253,90,explore,90,2400,2352
